caseid,tname,tid
4558,SNUADC/PLETH,c766e054fb4c9457b9752f0053192a03f0de7405
4558,Solar8000/ART_DBP,9ed6a0ef7fe473c492155b436d0eb20e4059c7ce
4558,Solar8000/ART_SBP,e19f8431283e10741ca6d152d283df0c5d97db5f
4563,SNUADC/PLETH,78b9d67bec48809e157522568fb33696474e2c75
4563,Solar8000/ART_DBP,1b86a3d051e71effb16a540140c9f5002de4afdb
4563,Solar8000/ART_SBP,007d09bd2451dccc114145bbfb30a868e4afdb74
4584,SNUADC/PLETH,44237ad08fa78910f779a2351c1e6a96893cd38d
4584,Solar8000/ART_DBP,7fa54902d45ac76d854b31b0342f00dce5bcce89
4584,Solar8000/ART_SBP,f8c0f6b97a4065d544a4a08280edcb537b3f9e67
4658,SNUADC/PLETH,bca92e3915b1ba9c17f105468f7836a284d50a50
4658,Solar8000/ART_DBP,6108ec5b76c7521e0f36e840763fe23b3ef346f6
4658,Solar8000/ART_SBP,4c82e00ba0787c7c9fa286092e8c0f55a95c882f
4702,SNUADC/PLETH,a73fa307a76d3508ecb596e488572bae24b2e03c
4702,Solar8000/ART_DBP,bbd71ceeeb3f6d7bfe94b7c3acaa8ce3cdc9a2a1
4702,Solar8000/ART_SBP,ce7f988785c9a3cd48c97cbab49ccbf95d029af9
4703,SNUADC/PLETH,5d2eb945c55df149b004997e3796a0c4e3658d7f
4703,Solar8000/ART_DBP,53bf978075b26a590a1d919584da05c2df9a2d3e
4703,Solar8000/ART_SBP,fbab780a9e9441fb0c15b28cf27b198b076ba1d6
4713,SNUADC/PLETH,52abf716285f0f8af1b43093669347aff36323d6
4713,Solar8000/ART_DBP,0bb447b7217239751de6e34d644b97e0407f0126
4713,Solar8000/ART_SBP,4fe9522c3f226fadd35707bff914978194b1edf6
4724,SNUADC/PLETH,dd5ad6fbb26c7905fe5a954ae43aeadbc0fc20a6
4724,Solar8000/ART_DBP,d21b32b040284bc719c3d93c4b321484087e54ac
4724,Solar8000/ART_SBP,e03f11540c522219915c27d4d53bf5d4ed6058b4
4739,SNUADC/PLETH,9b9aad5f279d751ee19e5e5472693fab8caee0c2
4739,Solar8000/ART_DBP,d16fca3fc1bab59221177abc509a3f6280bcbfc4
4739,Solar8000/ART_SBP,f06dc636b8c776a5582ced721ef359074f26f9ba
4805,SNUADC/PLETH,502cab7ff3be28423463339d5743964dff1b3216
4805,Solar8000/ART_DBP,54fadb3815b644e87a3ddd96dfbc22692c953bbc
4805,Solar8000/ART_SBP,68570913fbd78c334036ec37151c8fa36be8e571
4841,SNUADC/PLETH,198a3078d04875ff4d048535adfd4ecc08b02fe6
4841,Solar8000/ART_DBP,32b13692e7cd66acc60b21b58518f37935a2fdad
4841,Solar8000/ART_SBP,08c270b4ce9810f2d9f3b286e37a8bb3a8ad6fa0
4847,SNUADC/PLETH,92a59c52b9f846f5c367b7d046c9ca3c1f31d3a2
4847,Solar8000/ART_DBP,eaf3e7554e578610304cc3754d4735188688c558
4847,Solar8000/ART_SBP,749c85509b5a52598e39695ea2703bdc7d164f80
4883,SNUADC/PLETH,746675c0a60dc67dd7b0f4de89bddec70ecdd0d6
4883,Solar8000/ART_DBP,2e4c7dc16cd6c5dc553beac5ec0f647e1fc02544
4883,Solar8000/ART_SBP,38fe0f6cb067016a68ea357d77b210cb29a1430c
4936,SNUADC/PLETH,108aeccbbd5b90c29dbd225cd1f00dbff6ce514d
4936,Solar8000/ART_DBP,a0a7dae8174c85a956aa9bce3df65be5d7e9bfb3
4936,Solar8000/ART_SBP,6c6e1cd90e54084a07aaea17721b97d1eec64f84
5024,SNUADC/PLETH,c766394d949fa81b82356033e5a5a79c6ac09552
5024,Solar8000/ART_DBP,862314711970006a03e8389e4eb30f90f424b0ab
5024,Solar8000/ART_SBP,fcc3a8d53c73a5722998ebc560331105e8e9a379
5075,SNUADC/PLETH,063992a2a0806b22a7c5a3be6ab216a360546d5d
5075,Solar8000/ART_DBP,2e8acfaa01c609b10a04f3c093f98e5d86e1d914
5075,Solar8000/ART_SBP,731599cc7a425a53bc4a5649f13757ced663d8ed
5107,SNUADC/PLETH,3e718ffbe02d713c934053643e32ef4e654c2da7
5107,Solar8000/ART_DBP,10ce43a67138e0b70fb2b123c14c9ac7241ccdd0
5107,Solar8000/ART_SBP,c95a5d03c46b92e3cd19e03318dff926418faf43
5267,SNUADC/PLETH,6bbc65048ff7a385c989ce4ca4ae669d5d428cd6
5267,Solar8000/ART_DBP,2559434edf55a95e58bb315b29e92fed2d707417
5267,Solar8000/ART_SBP,f0babdb007f3a0baec0cde7dd9ea816092c68014
5353,SNUADC/PLETH,9be948728b7b2fcf76efdcc759a77ca975173355
5353,Solar8000/ART_DBP,a682ab39a30036b475792f83a60818d02d37f355
5353,Solar8000/ART_SBP,a90169cf1b10d4437440de3fae6f7149ca1e40b8
5368,SNUADC/PLETH,ee97a5c86fac518e6276cb4d583b9aefa49bab37
5368,Solar8000/ART_DBP,7df448cbc5c3ec25d90592a3d7c8291c37c71b20
5368,Solar8000/ART_SBP,121d46139aed1fe65be0047fc508cbf986a7c1f6
5388,SNUADC/PLETH,3e8caa56dad7cc46011f453cee26fd90d492c330
5388,Solar8000/ART_DBP,c322f54827923bd02737f39721ff1b0d4fabab37
5388,Solar8000/ART_SBP,57c43fcc5445843670187acd5ef349326d667a94
5395,SNUADC/PLETH,7c78c6071d59a5359567444508a9ce5b4b72f59f
5395,Solar8000/ART_DBP,464c2cbd0d5348ec36d728e5ac34a04a153033d2
5395,Solar8000/ART_SBP,2dc9df136cc232bc0f314fc1050ec90aa280148f
5420,SNUADC/PLETH,5313acdfd322b79f03a851ea78b11d957432303f
5420,Solar8000/ART_DBP,8af43c85596fd973148a6e60219b23791a49687a
5420,Solar8000/ART_SBP,c1e340ba84f29977eb3550b67d03b0b27ba1a573
5459,SNUADC/PLETH,ea64130bd516301e59e0ab24564135e9f49180fe
5459,Solar8000/ART_DBP,95e083bece1a6f271a77aac50ff5d11ee0bcedc5
5459,Solar8000/ART_SBP,07c327e2dcd33ce3d7cb692d0ad7f034fcdec42d
5463,SNUADC/PLETH,4efa0cb6c1d574b153ac16f1e3555dcbe7e62a57
5463,Solar8000/ART_DBP,b4a03775dbe7e02d57a4e7c1424eb50a52a7b4da
5463,Solar8000/ART_SBP,77258c8a4212c4932cf52d46cd29de506fb096b3
5509,SNUADC/PLETH,7e05d258c9e86a1a74e9035958e556938a76a2bd
5509,Solar8000/ART_DBP,db3255c6c4f59ed637bdfb2275f5e1dcea71b4da
5509,Solar8000/ART_SBP,5955b5b27add80ca3e32ffea7d14ae30ee48e70f
5556,SNUADC/PLETH,3ccb7bd0fa9f676796c4883364854acaa4ea8e4a
5556,Solar8000/ART_DBP,942bb196a7a3920639e0ebc5290e730889cbd79b
5556,Solar8000/ART_SBP,34d230efaefef2f3548f1353a038d8a1adbba3ce
5561,SNUADC/PLETH,c8e6dce70b17ef791bbd005cb0e2efa1de679434
5561,Solar8000/ART_DBP,cbad20a1e4d36e2e98b76fd27ccdaae0a6a1e342
5561,Solar8000/ART_SBP,c3d54db356aeb7f1df79286abdbbddafad44f62c
5598,SNUADC/PLETH,10d56d234a4dd03920175cb5806286333e66ff18
