epoch,train_loss,mae_sbp,mae_dbp,mean_mae,worst_target_mae,rmse_sbp,rmse_dbp,bias_sbp,bias_dbp,pearson_sbp,pearson_dbp,selection_score,tail_count,tail_mae_sbp,tail_mae_dbp,high_count,high_mae_sbp,high_mae_dbp,low_count,low_mae_sbp,low_mae_dbp,high_bp_sensitivity,high_bp_specificity,sbp_within_5,sbp_within_10,sbp_within_15,dbp_within_5,dbp_within_10,dbp_within_15,clinical_selection_score,run_id,stage,backbone,view,duration_seconds,engineered,head,loss,augmentation,balance,seed,parameters,trainable_parameters,train_samples,eval_samples,runtime_seconds,candidate_id,innovation_label,selection_role,candidate_number,cv_seed,training_seed,fold,status,train_subjects,test_subjects,patient_overlap,checkpoint_saved
5,0.5965106153363333,13.255730628967283,8.651083946228027,10.953407287597656,13.255730628967283,16.70511245727539,11.404413223266602,-2.7039904594421387,-2.723781108856201,0.4270377439076926,0.4819993424211471,0.729071855545044,4718,13.360421180725098,7.65398645401001,786,30.08525657653809,17.123706817626953,5626,11.479954719543455,6.189459323883057,0.0165394402035623,0.9998804399808704,0.2420765027322404,0.4571584699453552,0.6343169398907104,0.3761748633879781,0.6793442622950819,0.845136612021858,0.7195689678192139,I200C_C1_seed2718_fold3,INNOVATION200_CONFIRM,resnet,multiview,10.0,none,multitask,multitask,jitter_scale,none,2721,1146884,1146884,36539,9150,10.8069589138031,PRIOR_WINNER_FIXED,prior_resnet_multiview10_multitask,fixed_prior_winner,1,2718,2721,3,ok,1219,305,0,True
3,0.6213465919669386,13.19892406463623,8.667579650878906,10.933252334594728,13.19892406463623,16.620712280273438,11.276727676391602,-1.5151485204696655,-1.1505110263824463,0.4223439589280091,0.4586238552340935,0.7281482219696045,4718,13.618175506591797,8.59111499786377,786,29.0417537689209,16.53363037109375,5626,11.76386833190918,6.922488212585449,0.0,1.0,0.2422950819672131,0.4507103825136612,0.6379234972677595,0.3695081967213114,0.6644808743169399,0.8397814207650274,0.7303174734115601,I200C_C2_seed2718_fold3,INNOVATION200_CONFIRM,adaptive_resnet,multiview_zscore,10.0,none,multitask,multitask,amplitude_warp,none,2721,705721,705721,36539,9150,7.821641445159912,I200_TRAIN_003_7a8882a0ec,adamw_3e4_cos_amplitude_warp,best_normalized_accuracy,2,2718,2721,3,ok,1219,305,0,True
3,0.6338309005917054,13.56432056427002,8.857451438903809,11.210886001586914,13.56432056427002,16.863590240478516,11.401573181152344,1.8686968088150024,0.6614710688591003,0.4223292187617053,0.4468596451261938,0.746248722076416,4718,14.584891319274902,9.502161979675291,786,23.956069946289062,14.542024612426758,5626,12.969352722167969,7.995575904846191,0.049618320610687,0.9959349593495936,0.228087431693989,0.4330054644808743,0.6169398907103825,0.3579234972677595,0.6457923497267759,0.8285245901639344,0.7600624561309814,I200C_C3_seed2718_fold3,INNOVATION200_CONFIRM,conv_transformer_lite,multiview_zscore,10.0,none,multitask,multitask,jitter_scale,none,2721,148804,148804,36539,9150,5.526309967041016,I200_ARCH_073_f3d457acb9,convtransformer_w64_p15_d1,best_tail_aware_accuracy,3,2718,2721,3,ok,1219,305,0,True
4,0.5563724740013403,13.367283821105955,9.03227710723877,11.199780464172363,13.367283821105955,16.810136795043945,11.888358116149902,-2.147357225418091,-3.219552993774414,0.4143037226434712,0.437456976779867,0.7478765845298767,4718,13.395610809326172,7.650079250335693,786,28.438920974731445,17.959138870239258,5626,11.85159969329834,6.225298881530762,0.089058524173028,0.9961740793878529,0.2340983606557377,0.4525683060109289,0.6331147540983607,0.3632786885245901,0.6568306010928961,0.8249180327868852,0.7338804006576538,I200C_C4_seed2718_fold3,INNOVATION200_CONFIRM,adaptive_resnet,multiview_zscore,10.0,none,direct,huber_ccc,jitter_scale,none,2721,926775,926775,36539,9150,10.28316855430603,I200_OBJECTIVE_029_26d6c1ef0d,multiview10_ccc020,best_direct_high_bp_sensitivity_under_accuracy_gate,4,2718,2721,3,ok,1219,305,0,True
3,0.6243796083315505,13.36931610107422,8.738293647766113,11.053804397583008,13.36931610107422,16.66637420654297,11.313105583190918,1.241549730300903,-0.7435064315795898,0.4234324433653167,0.4553225586212121,0.7358564734458923,4718,14.473292350769045,8.882882118225098,786,24.99049568176269,15.79077434539795,5626,12.707036972045898,7.241970062255859,0.0330788804071246,0.9995217599234816,0.2318032786885246,0.4415300546448087,0.6269945355191257,0.366775956284153,0.6608743169398907,0.8344262295081967,0.7451214790344238,I200C_C5_seed2718_fold3,INNOVATION200_CONFIRM,morphology_resnet,multiview_zscore,10.0,none,multitask,multitask,jitter_scale,none,2721,334433,334433,36539,9150,7.836942911148071,I200_ARCH_051_79a6655a84,morphology_w64_eca_attention,best_parameter_efficient_under_accuracy_gate,5,2718,2721,3,ok,1219,305,0,True
5,0.6026891295198371,13.335366249084473,7.919304370880127,10.62733554840088,13.335366249084473,16.651348114013672,10.541281700134276,1.3100206851959229,-1.1003592014312744,0.3700243958060994,0.5329761085184066,0.6972804069519043,4557,14.319127082824709,8.18669605255127,757,25.348865509033203,16.451736450195312,5551,12.506251335144045,6.480077266693115,0.0039630118890356,0.9994042654593114,0.2310382513661202,0.4434972677595628,0.6290710382513661,0.4121311475409836,0.707431693989071,0.8805464480874317,0.706900954246521,I200C_C1_seed2718_fold4,INNOVATION200_CONFIRM,resnet,multiview,10.0,none,multitask,multitask,jitter_scale,none,2722,1146884,1146884,36539,9150,11.194013833999634,PRIOR_WINNER_FIXED,prior_resnet_multiview10_multitask,fixed_prior_winner,1,2718,2722,4,ok,1219,305,0,True
3,0.6250773097208033,13.264049530029297,8.066783905029297,10.665416717529297,13.264049530029297,16.49166488647461,10.608741760253906,1.9978997707366943,-0.0218344572931528,0.3946500634380211,0.5171839946051455,0.7013148069381714,4557,14.287339210510254,8.819089889526367,757,24.177473068237305,15.491181373596191,5551,12.480966567993164,7.072539806365967,0.0,1.0,0.2262295081967213,0.4422950819672131,0.632568306010929,0.4018579234972677,0.6977049180327869,0.868087431693989,0.7161698341369629,I200C_C2_seed2718_fold4,INNOVATION200_CONFIRM,adaptive_resnet,multiview_zscore,10.0,none,multitask,multitask,amplitude_warp,none,2722,705721,705721,36539,9150,7.935985565185547,I200_TRAIN_003_7a8882a0ec,adamw_3e4_cos_amplitude_warp,best_normalized_accuracy,2,2718,2722,4,ok,1219,305,0,True
3,0.639756811538916,13.176992416381836,8.156800270080566,10.66689682006836,13.176992416381836,16.513273239135742,10.868537902832031,-1.8735053539276123,-1.929638147354126,0.3881441040829785,0.5066979129299596,0.7025583386421204,4557,13.174433708190918,8.095703125,757,28.41143035888672,18.15755844116211,5551,11.459343910217283,6.112041473388672,0.0,1.0,0.2372677595628415,0.4476502732240437,0.6379234972677595,0.3959562841530055,0.7008743169398907,0.8626229508196721,0.7019158005714417,I200C_C3_seed2718_fold4,INNOVATION200_CONFIRM,conv_transformer_lite,multiview_zscore,10.0,none,multitask,multitask,jitter_scale,none,2722,148804,148804,36539,9150,5.557343482971191,I200_ARCH_073_f3d457acb9,convtransformer_w64_p15_d1,best_tail_aware_accuracy,3,2718,2722,4,ok,1219,305,0,True
4,0.55937662205771,13.735803604125977,8.474102973937988,11.10495376586914,13.735803604125977,17.141380310058594,11.119269371032717,1.2090485095977783,0.3555868566036224,0.3450649836688851,0.4748788058385476,0.7311824560165405,4557,14.374011993408203,9.171703338623049,757,24.356250762939453,15.21056079864502,5551,12.825379371643066,7.596423149108887,0.0515191545574636,0.987012987012987,0.2219672131147541,0.4284153005464481,0.615191256830601,0.3824043715846995,0.6771584699453552,0.8503825136612022,0.7427824139595032,I200C_C4_seed2718_fold4,INNOVATION200_CONFIRM,adaptive_resnet,multiview_zscore,10.0,none,direct,huber_ccc,jitter_scale,none,2722,926775,926775,36539,9150,10.230948448181152,I200_OBJECTIVE_029_26d6c1ef0d,multiview10_ccc020,best_direct_high_bp_sensitivity_under_accuracy_gate,4,2718,2722,4,ok,1219,305,0,True
3,0.6297565352230172,13.261518478393556,8.307416915893555,10.784467697143556,13.261518478393556,16.591615676879883,11.04615592956543,-1.6803189516067505,-1.9383745193481443,0.3783010852173398,0.4791082501363623,0.7110848426818848,4557,13.26585578918457,8.204095840454102,757,28.25635528564453,18.445873260498047,5551,11.576284408569336,6.200208187103272,0.0092470277410832,0.999523412367449,0.2358469945355191,0.4440437158469945,0.6331147540983607,0.3967213114754098,0.6866666666666666,0.8557377049180328,0.7100588083267212,I200C_C5_seed2718_fold4,INNOVATION200_CONFIRM,morphology_resnet,multiview_zscore,10.0,none,multitask,multitask,jitter_scale,none,2722,334433,334433,36539,9150,7.70487117767334,I200_ARCH_051_79a6655a84,morphology_w64_eca_attention,best_parameter_efficient_under_accuracy_gate,5,2718,2722,4,ok,1219,305,0,True
